Timestamp: 1666160869481687096, Orientation (x, y, z, w): -0.0061762179248, 0.000461801857455, 0.732929587364, 0.677794575691, Angular velocity (x, y, z): -0.004263040144, 0.0578174814582, -0.0583503618836, Linear acceleration (x, y, z): -0.4127189219, 0.137572973967, 9.38247680664
Timestamp: 1666160869531759160, Orientation (x, y, z, w): -0.00761362537742, 2.89108083962e-05, 0.732811570168, 0.677907586098, Angular velocity (x, y, z): -0.0253118015826, 0.0325056798756, -0.00639456044883, Linear acceleration (x, y, z): -0.0538329035044, -0.57182508707, 9.337018013
Timestamp: 1666160869581690456, Orientation (x, y, z, w): -0.00782421510667, -0.00029519299278, 0.731724798679, 0.679078102112, Angular velocity (x, y, z): -0.0245124809444, -0.00319728022441, -0.064212039113, Linear acceleration (x, y, z): -0.114843524992, 0.0789549276233, 8.76997852325
Timestamp: 1666160869631779736, Orientation (x, y, z, w): -0.00819540582597, -5.01169160998e-05, 0.73014241457, 0.680774927139, Angular velocity (x, y, z): -0.0143877603114, -0.0274433214217, -0.0935204401612, Linear acceleration (x, y, z): -1.09101355076, 0.13876926899, 10.5452680588
Timestamp: 1666160869681815768, Orientation (x, y, z, w): -0.00997938308865, 0.000913404102903, 0.728446364403, 0.682565033436, Angular velocity (x, y, z): 0.0, 0.0018650800921, -0.0991156846285, Linear acceleration (x, y, z): -1.67719399929, -0.513207018375, 9.84543991089
Timestamp: 1666160869731766904, Orientation (x, y, z, w): -0.0102559337392, 0.00197367626242, 0.727768599987, 0.683281421661, Angular velocity (x, y, z): 0.0322392396629, 0.0210487600416, -0.0391666814685, Linear acceleration (x, y, z): -0.451000094414, -0.27275338769, 9.23174476624
Timestamp: 1666160869781854232, Orientation (x, y, z, w): -0.00994563475251, 0.00243077683263, 0.727302670479, 0.683780431747, Angular velocity (x, y, z): 0.0143877603114, -0.0111904805526, -0.0274433214217, Linear acceleration (x, y, z): -0.458177834749, 0.0418700352311, 9.61455631256
Timestamp: 1666160869831814008, Orientation (x, y, z, w): -0.00977381691337, 0.0012577495072, 0.72605407238, 0.685111761093, Angular velocity (x, y, z): -0.00506236031651, -0.0484920814633, -0.0732709988952, Linear acceleration (x, y, z): -0.389989495277, -0.54789930582, 9.4052066803
Timestamp: 1666160869881749336, Orientation (x, y, z, w): -0.00970359425992, -0.00103412207682, 0.723865628242, 0.687424838543, Angular velocity (x, y, z): -0.0346372015774, -0.054353762418, -0.127891197801, Linear acceleration (x, y, z): 0.0394774638116, -0.67590200901, 9.56431293488
Timestamp: 1666160869931799256, Orientation (x, y, z, w): -0.00955449603498, -0.0036558706779, 0.719729483128, 0.691747307777, Angular velocity (x, y, z): -0.0780669227242, -0.0775340422988, -0.240861773491, Linear acceleration (x, y, z): -0.184228166938, 0.00239257351495, 10.1923627853
Timestamp: 1666160869981702712, Orientation (x, y, z, w): -0.00903707649559, -0.00508132297546, 0.716024875641, 0.695579230785, Angular velocity (x, y, z): -0.0146542005241, -0.0748696401715, -0.214484199882, Linear acceleration (x, y, z): -0.522777318954, -0.400756061077, 9.7006893158
Timestamp: 1666160870031749400, Orientation (x, y, z, w): -0.00970351975411, -0.00670719053596, 0.711471736431, 0.700213015079, Angular velocity (x, y, z): -0.0149206407368, -0.0303741618991, -0.260578334332, Linear acceleration (x, y, z): -0.177050441504, -1.09220981598, 9.0427312851
Timestamp: 1666160870081729176, Orientation (x, y, z, w): -0.00799005944282, -0.00704493606463, 0.706268310547, 0.705479264259, Angular velocity (x, y, z): 0.022647401318, -0.0346372015774, -0.29681417346, Linear acceleration (x, y, z): 0.340941727161, 0.0933103635907, 9.32027053833
Timestamp: 1666160870131788568, Orientation (x, y, z, w): -0.00780454929918, -0.00828787963837, 0.699541985989, 0.712138175964, Angular velocity (x, y, z): 0.00319728022441, -0.0135884406045, -0.379144132137, Linear acceleration (x, y, z): 0.422289222479, -0.829026699066, 9.40879535675
Timestamp: 1666160870181871768, Orientation (x, y, z, w): -0.00644877785817, -0.0085523519665, 0.69154125452, 0.719920277596, Angular velocity (x, y, z): 0.0213152002543, -0.0476927608252, -0.447885662317, Linear acceleration (x, y, z): -0.154320985079, -0.0358886010945, 11.3994159698
Timestamp: 1666160870231771704, Orientation (x, y, z, w): -0.00550134899095, -0.00975516065955, 0.682883381844, 0.72813051939, Angular velocity (x, y, z): 0.0119898002595, -0.0317063592374, -0.478259801865, Linear acceleration (x, y, z): 0.496459007263, -0.561058461666, 9.44946861267
Timestamp: 1666160870281946360, Orientation (x, y, z, w): -0.0059159793891, -0.0118119316176, 0.675025761127, 0.735387682915, Angular velocity (x, y, z): -0.004263040144, -0.0290419608355, -0.428968399763, Linear acceleration (x, y, z): 0.315819710493, -1.30634510517, 8.40032577515
Timestamp: 1666160870331791992, Orientation (x, y, z, w): -0.00522575061768, -0.0135668441653, 0.668914735317, 0.740925967693, Angular velocity (x, y, z): -0.0250453613698, -0.044229041785, -0.330652058125, Linear acceleration (x, y, z): 0.540721595287, -0.321801126003, 9.95549869537
Timestamp: 1666160870381711960, Orientation (x, y, z, w): -0.00603729300201, -0.0140952272341, 0.663878917694, 0.745425403118, Angular velocity (x, y, z): -0.0141213200986, -0.00586168002337, -0.270969480276, Linear acceleration (x, y, z): -0.179443016648, -0.782371520996, 9.94114303589
Timestamp: 1666160870431790744, Orientation (x, y, z, w): -0.00755415391177, -0.0150477457792, 0.65988022089, 0.748935341835, Angular velocity (x, y, z): 0.0138548808172, 0.0138548808172, -0.213684886694, Linear acceleration (x, y, z): 0.0849363580346, -1.58507990837, 7.72681617737
